rodada,vazao_mbps,retransmissoes,rtt_ms
1,10.0309,67,0.743
2,10.0312,24,1.197
3,10.0312,34,1.014
4,10.0311,21,0.945
5,10.0312,37,0.960
6,10.0311,55,1.243
7,10.0312,38,1.028
8,10.0312,28,1.070
9,10.0312,24,0.975
10,10.0312,39,0.972
11,10.0311,46,1.222
12,10.0311,33,1.121
13,10.0308,26,1.424
14,10.0311,38,0.978
15,10.0309,40,1.063
16,10.0312,32,1.219
17,10.0312,51,1.311
18,10.0311,46,1.304
19,10.0312,38,1.178
20,10.0312,43,5.480
21,10.0312,89,1.204
22,10.0312,30,1.044
23,10.0312,32,0.910
24,10.031,49,1.157
25,10.0312,35,1.005
26,10.0312,57,0.895
27,10.0312,57,0.873
28,10.0311,47,0.899
29,10.0312,41,1.038
30,10.0312,29,1.152
