rodada,vazao_mbps,retransmissoes,rtt_ms
1,10.0312,21,1.200
2,10.0312,21,1.129
3,10.0312,18,1.260
4,10.0312,29,1.279
5,10.0312,16,1.096
6,10.0312,23,1.247
7,10.0312,12,1.242
8,10.0312,25,1.492
9,10.0312,22,1.307
10,10.0312,18,1.163
11,10.0311,23,1.090
12,10.0312,24,1.391
13,10.0312,16,1.165
14,10.0312,27,1.278
15,10.0311,11,1.060
16,10.0312,19,0.991
17,10.0312,22,1.088
18,10.0312,18,0.959
19,10.0312,22,1.179
20,10.0312,17,1.309
21,10.0312,21,1.227
22,10.0312,10,0.919
23,10.0312,20,1.323
24,10.0311,18,1.268
25,10.0312,19,1.118
26,10.0312,32,1.148
27,10.0312,10,0.940
28,10.0312,24,1.173
29,10.0311,24,1.119
30,10.0312,20,1.183
