rodada,vazao_mbps,retransmissoes,rtt_ms
1,27.227,1068,0.948
2,39.8097,401,0.887
3,21.6346,495,1.160
4,31.8058,442,1.236
5,29.1488,126,1.301
6,32.0499,690,1.042
7,29.9881,855,1.210
8,12.8271,334,1.164
9,26.807,410,0.877
10,31.6662,506,0.989
11,27.4016,788,1.181
12,29.499,934,2.106
13,39.0411,586,1.193
14,30.582,231,1.027
15,32.6091,622,1.076
16,24.2213,316,1.054
17,34.1469,945,1.069
18,33.7967,340,1.191
19,28.3454,1080,1.061
20,40.0539,246,1.128
21,31.6311,1342,0.958
22,31.9809,444,1.220
23,43.3395,646,1.165
24,26.9469,225,1.172
25,36.8728,530,1.371
26,38.7256,52,1.288
27,24.2914,1064,1.066
28,31.7709,346,1.332
29,34.0069,533,0.981
30,30.1627,564,0.919
