rodada,vazao_mbps,retransmissoes,rtt_ms
1,10.0312,13,1.028
2,10.0312,15,0.907
3,10.0312,12,0.886
4,10.0312,14,1.069
5,10.0309,20,1.034
6,10.0312,9,0.912
7,10.0312,8,1.193
8,10.0312,13,1.242
9,10.0312,22,1.129
10,10.0312,27,1.042
11,10.0307,19,1.150
12,10.0311,29,1.449
13,10.0312,13,1.071
14,10.0312,17,1.115
15,10.0312,22,1.276
16,10.0312,25,1.215
17,10.0312,18,1.037
18,10.0311,8,1.046
19,10.0311,16,1.434
20,10.0312,14,1.044
21,10.0312,23,1.111
22,10.0312,14,1.095
23,10.0312,20,1.061
24,10.0312,21,1.245
25,10.0311,17,1.183
26,10.0312,23,1.104
27,10.0311,5,0.914
28,10.031,15,0.988
29,10.0312,22,1.105
30,10.0312,30,1.080
