rodada,vazao_mbps,retransmissoes,rtt_ms
1,21.775,536,1.105
2,22.1241,540,2.147
3,24.1861,574,0.775
4,22.6132,41,0.981
5,23.2077,358,1.161
6,26.1078,357,1.080
7,24.256,597,0.935
8,23.2422,741,1.014
9,22.8231,1054,1.216
10,26.3182,206,1.054
11,24.4654,779,0.854
12,22.2636,792,1.114
13,21.2155,613,0.937
14,24.2908,49,1.047
15,22.7185,533,1.066
16,22.7536,260,1.314
17,25.0598,180,1.061
18,24.6745,928,0.876
19,20.8308,162,1.080
20,24.8144,489,1.164
21,27.5063,419,1.020
22,23.0327,225,1.101
23,20.9698,945,0.963
24,22.6833,1169,1.445
25,24.4656,789,0.927
26,23.0328,287,1.071
27,23.5216,405,1.135
28,25.2689,679,0.929
29,24.8499,135,1.117
30,21.5644,703,0.866
