rodada,vazao_mbps,retransmissoes,rtt_ms
1,10.0312,32,2.275
2,10.0312,30,1.039
3,10.0312,53,1.413
4,10.0312,39,1.112
5,10.0312,34,1.147
6,10.0311,45,0.863
7,10.0312,44,1.156
8,10.0311,42,0.854
9,10.0312,46,1.015
10,10.0312,67,0.995
11,10.031,46,1.015
12,10.0312,45,1.212
13,10.0313,36,4.911
14,10.0312,33,0.981
15,10.0312,39,1.090
16,10.0312,27,1.290
17,10.0312,50,1.298
18,10.0312,37,1.169
19,10.0312,28,1.458
20,10.0311,39,0.960
21,10.0308,62,1.211
22,10.0312,81,1.101
23,10.0311,35,1.332
24,10.0311,57,1.189
25,10.0311,42,1.145
26,10.0311,46,1.299
27,10.0311,31,1.144
28,10.0312,30,1.121
29,10.0308,37,1.756
30,10.0312,39,1.047
