rodada,vazao_mbps,retransmissoes,rtt_ms
1,10.031,15,1.188
2,10.0312,11,1.272
3,10.0312,9,0.977
4,10.0312,13,1.239
5,10.0311,12,1.060
6,10.0312,22,1.096
7,10.0312,28,1.170
8,10.0312,13,1.055
9,10.0312,23,1.470
10,10.0312,17,1.208
11,10.0312,13,0.860
12,10.0312,19,1.016
13,10.0312,37,1.109
14,10.0312,36,1.046
15,10.0312,21,1.179
16,10.0312,7,1.257
17,10.0312,23,1.329
18,10.0312,16,1.233
19,10.0312,23,1.257
20,10.0312,13,1.353
21,10.0312,17,1.222
22,10.0312,16,0.994
23,10.0312,12,1.491
24,10.0313,30,1.095
25,10.0311,17,0.945
26,10.0311,37,1.192
27,10.0312,20,1.262
28,10.0312,15,1.040
29,10.0312,23,1.530
30,10.0312,18,1.307
