rodada,vazao_mbps,retransmissoes,rtt_ms
1,37.9917,85,1.094
2,28.94,360,0.901
3,30.8965,773,1.025
4,31.944,631,1.332
5,29.9178,628,0.967
6,31.4549,669,0.962
7,37.5018,360,0.972
8,28.2749,951,1.303
9,44.3537,219,1.040
10,27.4016,780,1.254
11,32.7487,226,1.211
12,33.0979,207,0.835
13,38.0622,270,0.995
14,29.3931,1004,1.263
15,36.5592,360,1.135
16,33.9371,337,1.185
17,27.2269,253,12.094
18,38.0962,135,1.203
19,31.8755,1314,0.886
20,31.2118,492,4.015
21,32.9936,504,1.182
22,38.5859,675,1.048
23,34.6371,136,1.256
24,35.9297,151,1.218
25,34.3218,486,1.121
26,31.8753,837,6.520
27,38.2711,630,5.398
28,38.9709,1035,0.996
29,27.6469,367,0.974
30,32.0848,225,1.127
