rodada,vazao_mbps,retransmissoes,rtt_ms
1,10.0311,64,0.869
2,10.0311,42,0.876
3,10.0311,40,0.873
4,10.0311,37,1.160
5,10.0312,38,4.274
6,10.0311,42,0.894
7,10.0312,38,1.195
8,10.0311,36,0.933
9,10.0312,46,0.984
10,10.0312,24,1.074
11,10.0309,47,0.892
12,10.0311,31,0.680
13,10.0309,46,0.826
14,10.0311,24,1.080
15,10.0311,30,0.884
16,10.0311,65,0.753
17,10.0311,36,0.813
18,10.0311,26,0.978
19,10.031,18,0.967
20,10.031,33,0.948
21,10.0312,18,1.067
22,10.0311,36,0.966
23,10.031,32,0.836
24,10.0312,44,1.179
25,10.0312,33,0.852
26,10.0309,26,0.975
27,10.0312,36,0.757
28,10.0311,31,0.906
29,10.0312,39,0.884
30,10.0312,31,0.645
