rodada,vazao_mbps,retransmissoes,rtt_ms
1,42.0116,650,1.128
2,36.4539,406,0.922
3,31.9803,1222,0.951
4,39.1454,766,1.255
5,29.4633,675,1.283
6,34.6701,433,1.005
7,34.531,442,0.966
8,35.6507,290,0.751
9,38.7959,595,0.985
10,35.1953,530,1.028
11,39.3207,415,1.510
12,45.1217,752,0.794
13,40.6829,98,1.071
14,40.0548,486,0.941
15,32.7491,582,0.816
16,38.1315,540,1.336
17,42.9897,810,1.103
18,35.4759,498,6.706
19,34.1477,918,1.075
20,37.9569,71,1.071
21,40.4728,426,1.055
22,28.3097,675,0.779
23,42.1852,934,1.078
24,36.2444,760,0.894
25,28.346,348,0.959
26,51.9028,360,1.312
27,39.495,900,1.371
28,32.6445,897,0.865
29,42.3256,205,1.310
30,44.0734,399,1.417
