rodada,vazao_mbps,retransmissoes,rtt_ms
1,29.0791,575,1.149
2,32.2601,473,1.029
3,31.7704,882,1.487
4,27.926,278,1.334
5,31.1759,315,1.185
6,30.443,739,1.227
7,27.1223,628,1.093
8,26.8765,238,1.183
9,27.7516,351,1.141
10,30.7225,336,1.288
11,27.297,341,1.083
12,28.9747,195,1.143
13,32.0856,385,0.988
14,30.2669,932,1.315
15,27.122,585,1.141
16,26.6319,61,1.044
17,29.2195,236,1.352
18,27.8552,62,1.205
19,27.7162,777,1.141
20,28.94,777,1.189
21,28.4502,450,1.145
22,27.2618,49,1.311
23,27.6814,484,1.173
24,27.821,210,1.117
25,27.6461,402,1.182
26,24.0812,307,1.245
27,29.2185,603,1.291
28,33.7972,535,1.238
29,28.2402,218,1.008
30,27.192,252,1.115
