rodada,vazao_mbps,retransmissoes,rtt_ms
1,10.0312,37,1.064
2,10.0312,35,0.952
3,10.0311,34,2.193
4,10.0311,42,1.226
5,10.0312,48,0.836
6,10.0311,55,0.856
7,10.031,48,1.216
8,10.0312,35,2.396
9,10.0311,46,1.146
10,10.0312,25,1.129
11,10.0312,55,1.189
12,10.0312,22,1.202
13,10.0312,45,1.105
14,10.0311,33,1.158
15,10.0312,32,1.037
16,10.0312,39,1.266
17,10.0311,44,0.970
18,10.0311,45,1.247
19,10.031,45,1.034
20,10.0312,54,1.097
21,10.0312,57,1.097
22,10.0311,46,0.905
23,10.0311,56,1.039
24,10.0311,25,1.523
25,10.031,37,1.002
26,10.031,30,1.110
27,10.031,38,1.011
28,10.0311,97,0.909
29,10.0312,61,0.944
30,10.0312,62,0.958
