rodada,vazao_mbps,retransmissoes,rtt_ms
1,10.0312,21,0.947
2,10.0311,13,0.982
3,10.0311,26,1.473
4,10.0312,10,1.080
5,10.031,23,1.330
6,10.0309,23,0.991
7,10.0312,9,1.065
8,10.0312,11,0.835
9,10.0312,25,0.958
10,10.0312,14,1.063
11,10.0311,16,0.985
12,10.0312,14,0.951
13,10.0312,21,1.074
14,10.0312,18,1.004
15,10.0312,20,1.036
16,10.031,11,1.156
17,10.0312,13,1.241
18,10.0312,12,1.103
19,10.0311,11,1.631
20,10.0312,13,1.058
21,10.0312,15,1.151
22,10.0312,11,0.970
23,10.0312,30,1.110
24,10.0311,18,1.099
25,10.0311,21,1.079
26,10.0312,14,0.977
27,10.0312,16,1.161
28,10.031,17,0.895
29,10.0311,6,0.944
30,10.0312,20,0.889
