rodada,vazao_mbps,retransmissoes,rtt_ms
1,25.5145,290,1.366
2,24.081,1286,1.097
3,27.9258,397,1.470
4,26.2479,135,1.089
5,27.5063,43,1.101
6,28.9037,261,1.149
7,23.5572,637,0.889
8,24.99,930,1.099
9,26.003,403,1.060
10,24.5358,900,2.822
11,25.2697,360,0.860
12,28.205,878,1.088
13,28.2402,585,1.029
14,33.5177,158,1.273
15,29.7424,270,1.629
16,30.3723,127,1.092
17,27.3658,368,1.500
18,27.682,444,1.003
19,33.6227,653,1.161
20,27.2971,236,1.201
21,27.7861,258,0.864
22,25.6541,207,1.142
23,26.5626,246,1.218
24,26.5284,258,1.032
25,28.59,127,1.243
26,29.4985,0,1.238
27,26.3534,292,0.994
28,32.0498,0,0.855
29,27.5418,427,1.081
30,29.1493,261,1.040
